Date,Open,High,Low,Close,Adj Close,Volume
10-07-2023,61,62.349998,60.049999,60.599998,60.599998,103004929
11-07-2023,60.75,61.099998,60.150002,60.450001,60.450001,41506545
12-07-2023,60.599998,61.700001,60.450001,61.400002,61.400002,51755516
13-07-2023,61.799999,62.200001,58.150002,59.099998,59.099998,98250294
14-07-2023,60,61,59.099998,60.700001,60.700001,50708803
17-07-2023,60.799999,62.650002,60.400002,62.349998,62.349998,60868223
18-07-2023,62.900002,63.25,61.299999,61.599998,61.599998,97038714
19-07-2023,61.849998,64.5,61.599998,64.150002,64.150002,104017013
20-07-2023,64.300003,65.150002,63.599998,63.849998,63.849998,97828765
21-07-2023,63.799999,64.300003,62.299999,62.599998,62.599998,56213660
24-07-2023,63.099998,63.799999,61.900002,62.099998,62.099998,56162634
25-07-2023,62.450001,63,60.549999,60.700001,60.700001,61394039
26-07-2023,61,63.75,60.150002,63.150002,63.150002,166000733
27-07-2023,63.799999,63.900002,62.049999,62.400002,62.400002,95604140
28-07-2023,62.5,62.849998,61.5,61.950001,61.950001,51987753
31-07-2023,62,62.5,61.700001,61.849998,61.849998,37185529
01-08-2023,62,62.200001,61.049999,61.349998,61.349998,30729374
02-08-2023,61.25,61.400002,58.549999,59.5,59.5,74149795
03-08-2023,59.599998,60,58.75,59.450001,59.450001,48284251
04-08-2023,59.700001,60.599998,59.25,59.950001,59.950001,42677862
07-08-2023,60.099998,61,59.849998,60.400002,60.400002,31910875
08-08-2023,60.450001,62.349998,60.299999,62.150002,62.150002,63023357
09-08-2023,62.150002,62.299999,60.900002,61.549999,61.549999,50984674
10-08-2023,61.549999,62.099998,60.700001,61.25,61.25,54154278
11-08-2023,61.349998,63.25,61.150002,62.549999,62.549999,63803349
14-08-2023,62.549999,62.599998,60.549999,62.349998,62.349998,39105535
16-08-2023,61.900002,62.299999,61.549999,61.700001,61.700001,32860991
17-08-2023,61.549999,63.900002,61.549999,63.25,63.25,86494044
18-08-2023,63.650002,64,62.400002,62.799999,62.799999,52249781
21-08-2023,63,63.049999,62.150002,62.349998,62.349998,22537361
22-08-2023,62.349998,62.75,62.299999,62.450001,62.450001,16228098
23-08-2023,62.5,63.700001,62.400002,63.349998,63.349998,35562766
24-08-2023,63.650002,64.199997,62.450001,62.849998,62.849998,40679832
25-08-2023,62.450001,62.5,61.150002,61.5,61.5,44154787
28-08-2023,61.75,63.25,61.349998,62.5,62.5,51611750
29-08-2023,62.700001,63.099998,62.5,62.950001,62.950001,22724327
30-08-2023,62.950001,63.849998,62.950001,63.450001,63.450001,36758499
31-08-2023,63.549999,63.75,62.599998,63,63,47388258
01-09-2023,63.049999,66.199997,62.5,65.400002,65.400002,120297728
04-09-2023,66.050003,67.800003,65.699997,67.400002,67.400002,78454936
05-09-2023,67.900002,68.599998,66.650002,67.349998,67.349998,70525265
06-09-2023,67.349998,67.5,65.5,65.699997,65.699997,57072136
07-09-2023,65.849998,67.150002,65.699997,66.599998,66.599998,39914471
08-09-2023,67,67.300003,66.25,66.849998,66.849998,38692009
11-09-2023,67.199997,69.5,67,69.150002,69.150002,97021497
12-09-2023,69.5,69.800003,66.25,66.849998,66.849998,106038890
13-09-2023,66.800003,73.099998,66.300003,72.550003,72.550003,196952754
14-09-2023,73,74.199997,71.849998,73.699997,73.699997,110388816
15-09-2023,74,74.849998,72.900002,74.150002,74.150002,85659070
18-09-2023,74.150002,79.050003,73.800003,76.900002,76.900002,196740035
20-09-2023,76.800003,77.699997,75.300003,76.449997,76.449997,87014740
21-09-2023,76.849998,78.300003,74.550003,75,75,82446210
22-09-2023,75.800003,77.75,75.050003,77.5,77.5,96312592
25-09-2023,77.900002,80.550003,76.550003,80.199997,80.199997,132629554
26-09-2023,80.199997,81.349998,79.050003,79.349998,79.349998,81418694
27-09-2023,79.800003,81.900002,79.5,81.5,81.5,87175092
28-09-2023,81.650002,82.650002,79.199997,79.650002,79.650002,153076293
29-09-2023,80.199997,81,79.5,80.199997,80.199997,50000692
03-10-2023,80.199997,83.5,79.800003,83.199997,83.199997,67592455
04-10-2023,82.699997,83.300003,79.349998,79.75,79.75,103799902
